X,Y,Z
36.13,59.7,-54.07
-4.18,-6.9,-90.92
-40.95,-67.67,-41.41
-38.37,-63.4,42.2
-2.4,-3.96,87.15
37.1,61.3,51.57
41.07,67.86,-31.32
8.64,14.28,-84.65
-32.96,-54.46,-61.17
-43.45,-71.79,20.05
-14.91,-24.64,82.39
25.61,42.31,63.24
45.0,74.35,-8.1
20.31,33.55,-75.72
-23.05,-38.09,-77.38
-45.65,-75.43,-4.3
-25.94,-42.86,70.25
16.59,27.41,80.11
45.9,75.84,17.07
29.74,49.14,-60.3
-10.45,-17.27,-82.86
-44.19,-73.02,-29.41
-40.76,-67.34,62.12
4.89,8.09,96.82
42.06,69.5,41.62
39.07,64.55,-43.86
2.02,3.34,-88.19
-36.91,-60.98,-50.36
-39.96,-66.03,31.27
-7.58,-12.53,77.91
30.98,51.18,56.48
40.84,67.49,-19.58
12.87,21.26,-73.17
-26.22,-43.32,-63.58
-40.84,-67.47,8.05
-18.32,-30.27,69.82
19.74,32.61,64.91
41.53,68.62,3.2
24.72,40.85,-68.23
-14.99,-24.77,-70.57
-39.36,-65.03,-13.94
-27.34,-45.17,56.43
10.83,17.89,82.67
38.92,64.32,25.17
30.38,50.2,-47.16
-4.02,-6.64,-72.87
-34.85,-57.58,-33.73
-31.74,-52.45,36.36
-1.31,-2.16,71.23
31.18,51.52,41.75
32.65,53.94,-26.2
5.86,9.68,-63.27
-25.16,-41.57,-45.07
-33.23,-54.91,16.54
-10.59,-17.49,61.99
21.29,35.18,50.7
35.65,58.91,-7.65
15.93,26.32,-62.07
-19.77,-32.66,-63.72
-39.99,-66.08,-2.39
-25.0,-41.3,70.3
17.32,28.62,79.53
46.05,76.09,15.5
33.04,54.59,-69.41
-12.52,-20.69,-92.16
-46.92,-77.52,-29.44
-38.18,-63.08,60.34
5.48,9.06,91.67
45.69,75.5,43.26
40.88,67.54,-47.78
1.32,2.19,-96.24
-40.36,-66.69,-53.03
-43.0,-71.06,35.38
-8.17,-13.5,92.95
34.55,57.09,60.8
44.16,72.96,-22.78
14.09,23.28,-85.03
-28.77,-47.54,-67.3
-44.35,-73.29,10.28
-19.48,-32.19,77.64
23.03,38.05,72.76
44.14,72.94,1.89
23.81,39.33,-68.23
-16.25,-26.85,-72.8
-41.52,-68.61,-13.25
-27.86,-46.03,59.58
11.04,18.24,78.43
39.64,65.5,24.13
31.93,52.76,-51.39
-5.2,-8.59,-80.66
-37.02,-61.16,-34.26
-34.05,-56.26,40.6
-34.05,-56.26,40.6
28.57,-58.28,40.07
66.17,-7.65,41.12
41.64,50.89,40.6
-20.58,63.35,41.12
-66.89,17.55,42.7
-49.04,-45.08,41.12
11.29,-64.78,40.6
63.75,-26.82,42.7
55.61,38.19,41.65
-2.06,66.58,41.12
-57.14,34.23,41.12
-61.2,-30.34,42.17
-7.35,-66.2,41.12
52.39,-42.49,41.65
68.1,22.46,44.27
17.47,67.8,43.22
-46.45,50.08,42.17
-69.75,-12.48,43.75
-28.5,-68.58,45.85
41.34,-59.63,44.8
72.52,2.57,44.8
37.45,63.14,45.32
-32.51,64.87,44.8
-32.51,64.87,44.8
-35.67,71.17,-38.15
-4.72,9.42,-84.62
30.04,-59.94,-55.87
38.58,-76.98,27.14
10.73,-21.41,88.08
-27.41,54.69,67.74
-41.68,83.16,-15.37
-16.73,33.37,-86.57
24.11,-48.1,-79.84
43.58,-86.94,2.15
23.2,-46.29,84.71
-19.99,39.88,92.04
-45.5,90.78,12.19
-29.18,58.22,-78.86
14.11,-28.14,-98.36
44.71,-89.2,-26.66
33.88,-67.59,68.88
-7.97,15.9,104.78
-40.1,80.01,38.12
-38.63,77.08,-58.65
1.19,-2.38,-100.24
39.21,-78.23,-52.96
-6.07,0.0,-76.04
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
50.36,0.0,-38.32
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
79.18,0.0,28.86
